Gene	RAWVALUE	VALUE
LMOf2365_0650	0.0	0.0
LMOf2365_0651	0.0	0.0
LMOf2365_0652	1.0	1.0
LMOf2365_0653	0.0	0.0
LMOf2365_0654	6.0	2.584962501
LMOf2365_0655	1.0	1.0
LMOf2365_0656	3.0	1.584962501
LMOf2365_0657	0.0	0.0
LMOf2365_0658	0.0	0.0
LMOf2365_0659	1.0	1.0
LMOf2365_0660	1.0	1.0
LMOf2365_0661	0.0	0.0
LMOf2365_0662	2.0	1.0
LMOf2365_0663	0.0	0.0
LMOf2365_0664	0.0	0.0
LMOf2365_0665	2.0	1.0
LMOf2365_0666	3.0	1.584962501
LMOf2365_0667	2.0	1.0
LMOf2365_0668	0.0	0.0
LMOf2365_0669	0.0	0.0
LMOf2365_0670	0.0	0.0
LMOf2365_0671	1.0	1.0
LMOf2365_0672	6.0	2.584962501
LMOf2365_0673	0.0	0.0
LMOf2365_0674	0.0	0.0
LMOf2365_0675	2.0	1.0
LMOf2365_0676	0.0	0.0
LMOf2365_0677	1.0	1.0
LMOf2365_0678	0.0	0.0
LMOf2365_0679	1.0	1.0
LMOf2365_0680	6.0	2.584962501
LMOf2365_0681	0.0	0.0
LMOf2365_0682	0.0	0.0
LMOf2365_0683	4.0	2.0
LMOf2365_0684	1.0	1.0
LMOf2365_0685	3.0	1.584962501
LMOf2365_0686	5.0	2.321928095
LMOf2365_0687	1.0	1.0
LMOf2365_0688	0.0	0.0
LMOf2365_0689	1.0	1.0
LMOf2365_0690	0.0	0.0
LMOf2365_0691	1.0	1.0
LMOf2365_0692	1.0	1.0
LMOf2365_0693	1.0	1.0
LMOf2365_0693.1	0.0	0.0
LMOf2365_0694	0.0	0.0
LMOf2365_0695	0.0	0.0
LMOf2365_0696	1.0	1.0
LMOf2365_0697	0.0	0.0
LMOf2365_0698	2.0	1.0
LMOf2365_0699	0.0	0.0
LMOf2365_0700	0.0	0.0
LMOf2365_0701	0.0	0.0
LMOf2365_0702	0.0	0.0
LMOf2365_0703	0.0	0.0
LMOf2365_0704	0.0	0.0
LMOf2365_0705	0.0	0.0
LMOf2365_0706	0.0	0.0
LMOf2365_0707	0.0	0.0
LMOf2365_0708	0.0	0.0
LMOf2365_0709	0.0	0.0
LMOf2365_0710	14.0	3.807354922
LMOf2365_0711	0.0	0.0
LMOf2365_0712	0.0	0.0
LMOf2365_0713	0.0	0.0
LMOf2365_0714	0.0	0.0
LMOf2365_0715	5.0	2.321928095
LMOf2365_0716	1.0	1.0
LMOf2365_0717	3.0	1.584962501
LMOf2365_0718	7.0	2.807354922
LMOf2365_0719	0.0	0.0
LMOf2365_0720	0.0	0.0
LMOf2365_0721	2.0	1.0
LMOf2365_0722	0.0	0.0
LMOf2365_0723	0.0	0.0
LMOf2365_0724	0.0	0.0
LMOf2365_0725	0.0	0.0
LMOf2365_0726	1.0	1.0
LMOf2365_0727	1.0	1.0
LMOf2365_0728	2.0	1.0
LMOf2365_0729	0.0	0.0
LMOf2365_0730	0.0	0.0
LMOf2365_0731	3.0	1.584962501
LMOf2365_0732	0.0	0.0
LMOf2365_0733	0.0	0.0
LMOf2365_0734	0.0	0.0
LMOf2365_0735	1.0	1.0
LMOf2365_0736	2.0	1.0
LMOf2365_0737	2.0	1.0
LMOf2365_0738	6.0	2.584962501
LMOf2365_0739	0.0	0.0
LMOf2365_0740	0.0	0.0
LMOf2365_0741	1.0	1.0
LMOf2365_0742	0.0	0.0
LMOf2365_0743	0.0	0.0
LMOf2365_0744	0.0	0.0
LMOf2365_0745	3.0	1.584962501
LMOf2365_0746	0.0	0.0
LMOf2365_0747	3.0	1.584962501
LMOf2365_0748	0.0	0.0
LMOf2365_0749	2.0	1.0
LMOf2365_0750	1.0	1.0
LMOf2365_0751	1.0	1.0
LMOf2365_0752	1.0	1.0
LMOf2365_0753	0.0	0.0
LMOf2365_0754	1.0	1.0
LMOf2365_0755	0.0	0.0
LMOf2365_0756	0.0	0.0
LMOf2365_0757	0.0	0.0
LMOf2365_0758	2.0	1.0
LMOf2365_0759	1.0	1.0
LMOf2365_0760	1.0	1.0
