Genome elements	LOGFC_prfA_Star vs EGDe_280212.ge	STAT_prfA_Star vs EGDe_280212_LPE.ge	LOGFC_prfA_Star vs EGDe_280212.gr	STAT_prfA_Star vs EGDe_280212_TSTUDENTTILING.gr	CORR_prfA_Star vs EGDe_280212_ARRAYSCORR.gr	STAT_prfA_Star vs EGDe_280212_FDRBY.gr	STAT_prfA_Star vs EGDe_280212_FDRBONF.gr	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo0048	0.40588198647317064	0.5564923429792135	-0.21465396281999993	0.2665303764612543	-0.528858067058339	1.0	1.0	+	51775	52389	615			sensor histidine kinase AgrB				TTG	 
lmo0049	0.09276455166251019	0.8994957606408365	0.08671486395000017	0.8225081845835458	0.9347844882114065	1.0	1.0	+	52373	52534	162			hypothetical protein				ATG	 
lmo0050	0.32404162486725063	0.6855722089610097	0.5556767712599999	0.0016414469829905127	1.714831455642906	0.5167844644757764	1.0	+	52630	53925	1296			histidine kinase				ATG	 
lmo0051	0.06146808298126949	0.9384762371657962	-0.7152389255400002	0.02383972808593702	-11.63594000089359	0.6795654225572159	1.0	+	53944	54672	729			response regulator				ATG	 
lmo0052	-0.04689529387520963	0.9529715443543141	-0.61716180102	1.1818922633332892E-11	13.160420801760912	0.5000000004854409	0.5000000169424256	+	54839	56812	1974			hypothetical protein				ATG	 
lmo0053	-0.19178237137253973	0.8115040269010038	-0.7107021181800002	0.021576278026384284	3.7057739618802197	0.6645418108348183	1.0	+	56815	57261	447			50S ribosomal protein L9				ATG	 
lmo0054	-0.0397345607347912	0.9605744907828417	-0.7720252685450004	3.0452584220777394E-9	19.429565956394793	0.5000000904694013	0.500004365377948	+	57286	58638	1353			replicative DNA helicase				GTG	 
lmo0055	0.404384240475661	0.6153248587854971	-0.7405896147250004	8.406905657315707E-5	-1.8314007832102321	0.5011841076227633	0.6205129925976207	+	58897	60189	1293			adenylosuccinate synthetase				ATG	 
lmo0056	-0.36197428101936957	0.6828580720957274	-0.9651961242350005	0.0034903186294651498	2.6664770809596607	0.5326611980347719	1.0	+	60506	60799	294			heat shock protein				ATG	 
lmo0057	0.23827592800302	0.7127226749929445	-0.8648763986249999	2.959124791916294E-10	-3.629726283613669	0.5000000101454156	0.5000004241905389	+	60948	64154	3207			hypothetical protein				ATG	 
lmo0058	0.5121116688240495	0.33686647534204184	-0.7704680062499998	0.009737379290106582	-1.5044921901881443	0.581744650732812	1.0	+	64144	64659	516			hypothetical protein				ATG	 
lmo0059	0.3814953723338803	2.126527010126722E-4	-0.7519677180900004	0.2338461529882485	-1.9711057397359122	0.6172045456275699	0.8022858144895135	+	64677	64928	252			hypothetical protein				TTG	 
lmo0060	0.34269282478133967	0.21547062385736893	-0.7771367630250001	4.703948621649822E-4	-2.267735729573165	0.5054419140906197	1.0	+	64950	66146	1197			hypothetical protein				ATG	 
lmo0061	0.32635301154236007	0.6813405326016007	-0.8471540591700006	4.1093578728076195E-11	-2.5958211789323156	0.5000000015718054	0.5000000589076451	+	66160	70656	4497			hypothetical protein				ATG	 
lmo0062	0.5141505972071503	0.46911594556509884	-0.9705688010200004	0.056319532333435035	-1.887713067517765	0.8825767971333764	1.0	+	70676	71071	396			hypothetical protein				ATG	 
lmo0063	0.5313603764748196	0.1386198574664208	-0.7619831197250004	0.0290926655140484	-1.4340232231469554	0.7134824838227514	1.0	+	71064	71363	300			hypothetical protein				ATG	 
lmo0064	0.15787475252671967	0.6657347735646235	-0.8248335958499995	0.08713051733083103	-5.224607371659377	1.0	1.0	+	71360	72061	702			hypothetical protein				ATG	 
lmo0065	0.4702372573924203	0.241399316473645	-0.7675587999099998	0.0644381936624171	-1.6322798498917326	0.9286475189369615	1.0	+	72062	72394	333			hypothetical protein				ATG	 
lmo0066	0.36290045775793	0.5860366699223318	-0.6079945834700009	0.004080832548627696	-1.67537563117531	0.5376402614334793	1.0	+	72408	74222	1815			toxin				ATG	 
lmo0067	-0.0629512643023391	0.9512601511378023	-0.6404700733500004	0.02005018267315003	10.174062116909734	0.65411329789183	1.0	+	74239	75228	990			dinitrogenase reductase ADP-ribosylation protein				ATG	 
lmo0068	-0.539015937996929	0.45633094367646365	-0.6239092520599994	0.23753122195595922	1.1574968532072496	1.0	1.0	+	75342	75665	324			hypothetical protein				ATG	 
lmo0069	0.23845051107171056	0.7980123698659232	-0.6378508744399998	0.2083024926679723	-2.6749822073066363	1.0	1.0	+	75832	76125	294			hypothetical protein				ATG	 
lmo0070	0.08813885099731067	0.9265942916177536	-0.5177817651500005	0.13966146429824167	-5.8746144213497775	1.0	1.0	+	76262	76984	723			hypothetical protein				GTG	 
lmo0071	0.7709212532642207	0.44700712118919084	0.1815400789299999	0.7249631411697829	0.235484594777127	1.0	1.0	+	77149	77406	258			hypothetical protein				TTG	 
lmo0072	0.5726540929684099	0.562064461938627	-0.188058533475	0.9265493754167958	-0.3283981303620476	1.0	1.0	+	77863	78066	204			hypothetical protein				GTG	 
lmo0073	0.11105905366174085	0.9135185715720098	-0.48608728337999985	0.10195114314840707	-4.376836172767191	1.0	1.0	+	78090	78374	285			hypothetical protein				ATG	 
lmo0074	0.2645967850237003	0.7928373216831768	-0.15663476017500044	0.8600703069933685	-0.5919752961509734	1.0	1.0	+	78362	78811	450			hypothetical protein				ATG	 
lmo0075	-0.2201499326875611	0.8037022580355578	-0.8178566207700002	5.030000162645218E-4	3.7149982776997263	0.5057646311741906	1.0	+	79047	79820	774			carboxyphosphonoenolpyruvate phosphonomutase				ATG	 
lmo0076	-0.09450062469469067	0.912207804515726	-0.9842357569250002	1.2364943830035889E-6	10.415124345525067	0.5000242928730582	0.5017725146980356	+	79817	80869	1053			O6-methylguanine-DNA methyltransferase				GTG	 
lmo0077	-0.037691809893139805	0.9648944015677724	-0.8831170557660006	8.978421973829567E-5	23.429945610723635	0.5012516424283449	0.6287056789948469	-	80892	81530	639			hypothetical protein				ATG	 
lmo0078	-0.2917036484148614	0.7127038405463878	-1.5212836094000004	5.440296766876863E-24	5.215168262950309	0.5	0.5	+	81661	82617	957			phosphoglycerate dehydrogenase				ATG	 
lmo0079	0.7668881688976592	0.4316925093984305	-0.4859649459999993	0.002599690700892595	-0.6336842393833448	0.5252537522294868	1.0	+	82959	84437	1479			hypothetical protein				GTG	 
lmo0080	0.020785542257190315	0.9819726672673348	-0.7630773150200003	0.16406733729468004	-36.711927241447356	1.0	1.0	+	84451	84849	399			hypothetical protein				ATG	 
lmo0081	0.05981971297297051	0.9376048188954031	-0.7182316579799997	0.1086990338835162	-12.006604884656202	1.0	1.0	+	85025	85627	603			hypothetical protein				ATG	 
lmo0082	0.5194288778633807	0.6103028735900193	-0.13938816705500034	0.330974950461033	-0.2683488981751646	1.0	1.0	+	85902	86228	327			hypothetical protein				ATG	 
lmo0083	-0.5896850503094804	0.5157188325645901	-0.8395284499539999	0.010858139664348978	1.423689560237954	0.5901027783517633	1.0	-	86323	86691	369			MerR family transcriptional regulator				ATG	 
lmo0084	-0.50898279035765	0.563690793855053	-0.949155827192	7.648343794304686E-12	1.8648092728735501	0.5000000003228079	0.5000000109639008	-	86747	87730	984			oxidoreductase				ATG	 
lmo0085	0.25862256489949065	0.4629281277393056	-0.7637372986950002	0.09365657227365709	-2.953096142217188	1.0	1.0	+	88121	88810	690			hypothetical protein				ATG	 
lmo0086	0.4084554317620013	0.5513405215113072	-0.8745582860300001	2.018475080549181E-14	-2.141135159489292	0.500000000001182	0.5000000000289349	+	88888	94767	5880			hypothetical protein				TTG	 
